tweet,hate,userID,likes,comments,views,shares,tags
@kimcampano &#128553;&#128557;&#128557; bitches needa take notes,0,5F370C9D,400,146,199,524,41
@kincade00 @DaUnfuqwitable1 @Stoopid_lu103 @_PlayCrazy @Anthony_2Much @Jack2Time @GF_Dalifestyle nigga be safe hoe,0,2CB90053,279,76,502,486,75
@kincade00 @DaUnfuqwitable1 @Stoopid_lu103 @mistaturk5 @_PlayCrazy @GF_Dalifestyle fuck you bitch,0,E7CFC5D3,371,360,673,600,90
@kincade00 @PacTha_Mac lmaooooo we can't wash that baby ass honda you got cause that hoe don't cost more than 1200,0,9A2A8D5E,862,610,857,290,18
@kincade00 @mistaturk5 lmaooo just call my phone if you want them birds *Migos Voice*,0,EB0248B7,230,159,373,192,20
@kincade00 don't watch me watch tv hoe,1,FFE16EEE,1008,578,337,579,33
@kincade00 nigga Madison playing some bitch ass white boys that's going to Harvard on law scholarship play crazy,1,5EA70D3B,623,979,1389,576,26
@kincade00 shut up bitch for I spit on you,0,667455A2,584,381,279,505,72
@kincade00 you owe me anyway hoe I need that with interest or shooting your shit up,1,57ED1976,565,357,1113,238,6
@kincade00 you seen it hoe put that cash up bitch imma take your money and spit on your fat ass,1,E6714087,1056,410,1115,495,61
"@king__saan I feel like I just got married bruh, she a bad bitch",0,5.29E+11,1064,997,928,455,60
@kingjvsh @_hanimA Don't be a bitch,0,59B74668,864,793,910,523,71
@kingjvsh you just did bitch lol,0,93F605B8,232,653,385,62,30
@kingtaylorxx @chanelisabeth I'm a boss ass bitch bitch bitch bitch bitch,0,CDC78BA5,172,406,201,160,87
@kingxxlopez Lol me and @MarcusDenton just sit there and make fun of him. I can't stand that fag,1,80152F73,680,831,1146,537,39
@kingxxlopez Roberts is a fuckin fag&#128514; smack the shit outta him,0,C916AE33,847,593,39,190,25
@kinkymuslim bitch music,0,099CCA78,587,441,1131,158,92
@kirbys08 @_James_Kirby_ fuck you bitch.,1,8D825BA8,79,131,112,632,94
@kirstynehbu faggot,0,FB609DE2,213,70,287,115,82
@kitlange stop oppressing me! Have you heard of free speech? Stop shoving your lifestyle down my throat! 1st AMENDMENT! #tcot #teabaggers,0,2BEFFDF7,667,774,617,281,98
@kitten_nugget69 @danusaur bitch you're the ugly one that's why everyone leaves you AHAHAHAA,0,9CD76AF6,53,471,495,589,71
@kitten_nugget69 stfu dyke looking hoe.,0,9FA4E278,99,61,704,293,87
@kittty_jpg @SteeZeyFLOW @nosfiend215 at least im not black bitch your parents left you in the mcdonalds parking lot after you were born,0,767799FA,1192,981,1231,7,29
@kittty_jpg @nosfiend215 @SteeZeyFLOW you were the one that jumped in this conversation you smelly ass bitch... just fuck off and thats it..,0,51FEC42C,359,578,1039,657,65
@kitty_hello14 bitch I ain't arguing with you .. Fuk on! You said some slick shit n I addressed it .. #Simple,0,D277142C,310,840,404,82,15
@kittygurl9714 I highly doubt you're a real woman. You're prolly a fat ass man. Who fuckin cares?!? Let me do me ho,1,50EC8877,571,111,103,295,53
@kittygurl9714 bitch you mentioned me first tf wrong wit yo psychotic ass.,0,F2C61FA6,932,428,425,636,47
@klejdys He may be 'hustlin' but he studied Critical (Race) Theory and 'my people' Holder is getting his 'revenge.' They hate whitey.,0,1FB1254A,52,771,434,541,39
@klena57 someone on Facebook made a status defending him so I dropped a bomb full of knowledge on that bitch and unfriended,0,AFA71F6B,1114,945,919,610,4
@kliontiii @yfly23 lol tell Liv none of her usual redneck hillbilly places an none of ur black gangsta places either,1,583769B8,941,647,753,589,29
@klvyupthatsm3 @Huntermoore ew you look like a cheap tranny hooker,0,0B7692D5,557,630,405,92,100
@kmagalyv some scandalous hoes then!!! Lmao,0,50B51215,518,602,49,666,32
"@kmdk83 @BeautifulMined
I hopes dis ain't cause he colored cause I knows he be actin all nigga like",0,592E0D2C,379,408,1486,36,12
@knvcklepvck gimme one with his mouth closed I can't draw teeth without making them look retarded oMF,0,052A3150,937,628,783,667,46
@kortneyalexis fuck yo bitch ass,0,CC364A41,309,777,1449,399,31
@krispy717 @grizzboadams fucking gay faggot look at that gay ass pink shirt haha,0,3CC71ACD,56,595,254,611,80
@kristin12909 better nig. Lol but if anything ill flip u the 10 or something. Im tryna get some more cash,0,A95D606C,303,387,769,361,38
@krustyiscute don't hoe me,0,1A482957,877,485,521,295,72
@ksecus I give up on the Tankees I mean Yankees. Maybe next year!!,0,3640B1C3,431,168,319,529,13
@ktpowers98 @WendyDavisTexas Ha Ha Ha no good fat dyke,0,8E2E1918,1045,236,536,101,92
"@kuczaaaK @Tyg235 Kris, griff is too ghetto to know anything about sperrys or vans",1,369B4D95,901,547,317,612,33
@kuhnatekuhnite @studlydubly talkin' bout bitches gettin' butthurt am i right?!,1,F2E0D374,375,195,1010,417,73
"@kvngkendric_ fight . Expose hoes , do some super gay shit , anything negative , since that's how society works.",0,A75D6319,458,440,917,194,61
@kyleefagnola call him a cock blocking faggot,0,93FB9D68,13,770,99,188,34
@kylegotjokes @yaaagirlllmeggx that's fucking bitches for ya! Using that pus to hook u,0,6EDFA013,938,150,121,559,3
@la_di_daDEE try me pussy,0,EC021E91,971,85,1193,211,28
@laceeybugg atleast i dont have dick breath you twat licker,1,42A08A10,132,731,1396,480,100
@laceeybugg atleast i wipe my ass trashy bitch,0,6C30C5A8,604,284,1482,281,8
@laceeybugg bitch if im talker than you then youre short so stfu,0,4F37A008,1108,838,422,368,97
@laceeybugg bitch im 5'7 1/2 smd hoe,0,8797F4C0,745,724,333,636,70
@laceeybugg comeover here then bitch,0,6AA1F933,334,165,1017,36,45
@ladysofchoice r u that ugly that ur avi is a bitch,0,97008A75,888,285,1147,658,67
@lajazz7 bitch&#128545;,0,E1A15B19,410,163,473,458,48
@lanaaabanana lady Bligh is my bitch!! I got 10 natty daddy's in my fridge #turnup,0,67AA3340,571,992,1111,502,21
@lancejw113 so many hoes &#128514;&#128514;,0,1A4D7448,637,229,730,500,43
@laser_beam26 text me fag,1,7D9916E4,921,879,502,258,5
@lauchiemac_ fag,1,02D1C5A1,735,700,824,270,99
"@lauramartyy ""wait n as in nick or m as in mick?"" &#128514;&#128514;",0,9DCB0FF7,396,83,1151,315,91
"@lauren_kapitan @_Maniac_Mind_ No the fuck u can't dumb bitch, matter of fact go get nigga hoe cuz u not going be shit.",1,5F484D86,297,622,727,518,10
@lavalourry stfu prude ass basic ass bitch,0,BFFCAE65,730,685,1340,643,34
@lcl03 the slopes aren't for us bro Hahaha,0,235DA2D4,142,873,1267,416,59
@lcl03 you've been talking trash since we were 3 and 5.,0,2C25E5A6,266,860,1312,397,28
@lcxancilleri faggot,0,8CA4E59A,475,777,1391,308,17
"@leetreble_ quit bitching faggot, happy you cant see your faggot family cry baby little girl crying in the parking lot, you aint a man sissy",0,131B5A0F,456,142,1165,52,75
@leiacatherinexx don&#8217;t be a hurt little faggot,0,F2139FC9,1112,70,1266,345,29
"@leighvl Niggas probably be watching me like ""Look at this Uncle Tom ass Rasta""",0,0D2D77FD,74,151,916,270,63
@lenadunham Sick bitch nutjob,0,8D66D202,792,762,544,153,91
"@leprechaun_ie Strong with the Force, leprechauns are.",0,7E149F95,312,630,71,680,95
"@letsdancemofos @markkelly1983 haha, I've swatted that little bitch around all night, starting to feel a bit sorry for him, seriously.",1,FCACC76D,100,532,417,541,94
@lettherainefall @Ann_E_Lizabeth and I are on our way to fuck your bitch,0,B82852A0,341,932,831,417,81
@lettherainefall fag that's some gay ass shit,0,05B30FD6,711,428,158,653,22
@lettherainefall on my way to fuck your bitch,0,DDA736DF,490,728,308,360,39
@lettherainefall sucks to suck bitch.,0,3D059678,1129,530,997,684,9
"@lexhound @discordianslip @87pest Nah, they would probably call you out for being the obsessed faggot you are also. Nice try though.",1,B1E603CC,26,228,1421,274,34
@lexipost30 because she a typical ghetto girll.,0,90B3D205,290,290,431,590,65
@lexxaye DP = Double Penetration aka a dick in the ass and a dick in the pussy at the same damn time.,0,588B989C,669,344,845,141,68
@lifeof_brandon bitch I called yu back,0,63A7AEAB,398,626,258,425,98
@lifeof_brandon bitch you need to bring your ass to fucking practice.,0,E1B55CB8,4,315,952,493,92
@lifeof_brandon text me bitch,1,B3D979F6,1087,883,1223,248,26
@lil_TR1LL can't wait 2 see my bitch tmrw #gatsby #l00py,0,8F35332C,173,827,65,121,78
@lilimaeee nigger,1,F1C80F8C,665,512,1439,536,43
"@lillivonschtupp @13Damage @BrazenModels 
I don't likes dat magazine. All da black folk look like dey one chromeasome away from da ape",0,5AC2EFD8,801,353,622,532,99
@lilmenifee__ &#128514;&#128514;&#128514;&#128514;&#128514; yeah I read yo shit to fast bitch,1,A88F7B1E,1039,859,87,520,99
@lilmenifee__ ah Lil bit bitch &#128526;&#128527;&#128514;&#128076;,0,66DF736D,1162,474,111,158,41
@lilmenifee__ ohh bitch i gotta go fck with my girl my second lil family frfr,1,3619B848,204,821,831,435,45
@lilthickgawdess salty pussy,0,8383C29F,691,710,1160,454,53
@lilylovescamel @auroraabartlett I like that your room isn't a big sloppy mess like most of these Twitter hoes,0,E127E22E,81,661,1418,13,70
@litigiousmind I skipped the running. And am eating chips. And brownies.,0,A75300E7,782,532,1356,234,86
@litigiousmind pretty like a bitch,0,274B2CCB,40,595,258,248,100
@littlecball @AustinMahone just Robert bc he was the one cussing like no tomorrow bc he's a pussy,1,A9A43B8F,1091,719,818,375,62
@littleelexx you a bitch tho I know for sure I'm not. You'd get your ass beat by any of my bitches that's fact &#128514;&#128514;,1,9F3C210C,215,915,133,568,71
@littlelinnda @NasshRodriguez @linndaroose linda you just @ yourself rn you retard^^,1,4FC22404,236,82,150,691,33
"@littlelouie33 eh, take off hoser.",0,40D20C78,89,484,623,681,74
@lkxox_ bitch*,0,BC5777F3,683,540,1060,98,50
@lkxox_ bitch***,0,51CB53C3,985,628,92,92,10
"@lkxox_ exactly, so she's a bitch",0,C135D12F,170,528,533,661,65
"@lllexiss @lukejohnson06 @ParhamBryce @laurenbeckkkk1 Lil pussy didn't DM me back?, hmm",0,D040B6D4,877,634,816,361,71
"@lloyd7121 @jjauthor @petermickley 
Approximately 1/2 in one crash. There wasn't supposed to be that many members of a seal team on one bird",0,6EC5307D,939,378,289,98,80
@lnsightful @zT_Supreme @uncr4fted @yoPapi_chulo omg no plz stop calling me an idiot... are we in kindergarden you fucking faggot,0,32371059,245,230,175,20,67
@logan_wills what a bishhh &#128075; slap a hoe,0,E2554076,371,576,1462,101,70
@longbongchris I don't see how ud get pussy when u yourself are a pussy.,1,AC83199A,589,82,337,238,94
@longbongchris mk Hun just textith me,0,895328BD,349,197,703,663,1
@longbongchris same here nigga the minute it dropped I got it. Fuck with our team bitch,0,4EB677CA,453,428,1411,420,54
@lord_jonesss none of my business ? Nigga if you get that I'm living with you lol and I'm stealing one of them bitches and 100k &#128056;&#9749;&#65039;,0,5A30A4AC,1141,475,311,542,11
"@lordjamar your disgusting, you should be banned from talking about Hiphop, retards like you belong in the 40's with your retarded ass logic",0,8D464D22,321,760,1066,229,89
@louiev_ lol just getting this..early bird catches the worm!,0,455EDA7A,223,75,1002,481,68
@louisck a video i made -- Porn Actress Sexy Capri Anderson Kissing Video with Charlie Sheen http://t.co/VTH4r762 via @youtube,0,6EBE88A4,748,98,1268,632,70
@lovenati after a 2 day bitch fest maybe,0,B7654DC3,234,643,780,647,61
@lovenati omg...what a retard...should have asked her which weighs more? Thousand pounds of feathers or a thousand pounds of steel?,1,02E51B51,374,501,1393,286,94
@lucas_wright955 @MichaelGT03 faggots,0,F7AEBBF4,493,349,940,20,1
"@luchadora41 so was slavery, prohibition and not letting women to vote... segregation jim crow laws.. etc etc i can do this all day lol",0,10D6DAF3,1018,27,570,308,43
@lucioxnava how about darkskin dykes?,0,83B48E75,1021,704,668,313,20
@lukejohnson06 @laurenbeckkkk1 @lllexiss hey dude watch who your calling a bitch..,0,71929A98,369,723,685,140,19
"@lundenm my dad wanted me to ""twat"" him. &#128563;",0,E2BCAA34,187,535,39,154,35
@luvvida You're right.. I be around my nig....,0,36FDA45F,195,665,1156,185,42
@lvnzo oh hell no they act proper and i live in richardson much finer then the hoes in ducanville,0,5A1E71E3,956,364,93,339,27
@lybr3 and yes.THAT was very ghetto and condescending ESPECIALLY after her miserably failed crappy school lunch initiative. The Hypocrite,1,82C81FFF,1185,395,420,0,15
@m_gast faggot,1,EDCCBAE0,1068,881,948,496,2
@mabathoana garbage rappers can't learn. it's like teaching Advanced Algebra to a retard.,1,7BC7621D,416,578,62,571,77
"@maccabeez no one knows the words to that song, they only know the sexy saxophone. George Michael is a pussy.",0,7786E60A,471,596,1270,388,75
@maccabeez thanks...bitch.,1,E3A28EC8,728,272,729,131,2
"@mackgotti thats that "" never call a bitch again "" shit",0,B3556E6B,92,838,790,37,16
@macktology101 for reals psycho ass bitch lol,0,59913D61,952,78,720,530,34
"@maddieevaans @felicity182 ""us english"" it's our go learn grammar u dick sucking hoe",0,0A90C22E,944,511,421,555,40
@maddieevaans @felicity182 idk what ur saying probably desperate for my pussy,0,FC1BB91D,819,747,611,553,6
@maddieevaans u call ur bestie a bitch I'm guessing she's a dog that barks too much,0,20DE3E1C,419,432,787,446,16
@madi_kat @OGJaredH too pussy or what?,0,B007FB5C,148,332,972,462,23
@madi_kat prolly not. They sound like little bitches.,0,3D5A2C9C,1051,655,1462,267,94
"@mafenske I didn't mock anything! Was asked I believed in Noah's arc and said no, how is that mocking any religion? Opinion that's all",0,803B68DA,745,376,1123,633,5
@maggie_burdis @nickgoldapp lmao dude you are probably the biggest fag in nebraska &#128514;&#128514;&#128514;&#128514;&#128514;,0,70EBB8C3,294,576,723,239,31
@mah5H stfu white trash,0,AFB50246,318,277,1402,434,59
@makenzies_mask ur a boss ass bitch,0,13D60FD8,712,614,39,669,61
"@malachic1997 apparently this little pussy cant converse nevermind fight. Ive been blocked. 
Oh well youth gets frustrated easy.",0,725B423D,21,541,335,496,77
@maliktender gayer then 2 faggots in bed together&#128129;,0,B5596FBF,465,821,1014,572,87
@mallenokc @royceyoung extra yellow.,0,97FAA758,736,539,336,459,96
@mandaxll2963 yellow is even better,0,EE59740A,1189,83,1493,647,44
@marclamonthill all #nfl stadiums play music by jay-z a former drug dealer whose diaphragm wouldnt work w/o saying nigger in every song,1,43338ADF,184,206,392,215,37
@marclamonthill will you mention why being called nigger is wrong(witch i agree with) &amp; bossy is wrong.but being called a pimp is still ok?,0,59BC5412,687,338,121,517,2
"@marcostc__ niggas be pressed 4 pussy
it ain't nuthin
instead of worrying who dat bitch fucking 
why don't u get chu sum money",1,76C61D70,639,954,371,640,2
@marcostc__ you're right momma ain't raise no faggot,1,8A47DB6D,234,917,283,112,19
@marcus2kings yeah hoe ass nigga &#128532;&#128532;&#128532;,1,C618D51A,735,951,741,314,63
"@mariaisab3lla at that point, just call me nigger.",1,57859C2C,629,691,262,262,11
@marissaaxoo @kakestevens @mandaclementine someone needs to give these bitches a gatoraide or ten,0,53877C42,430,719,355,261,36
"@marissarose_10 
Your mouth
Your pussy
Your ass
My dick
And a sandwich after we fuck.
What kinda question is that?",1,C3AAA10D,159,767,261,481,52
@mark_mac18 @sheppast @rianscalia groves is trash IMO,0,22FCDD42,858,485,548,600,70
"@markoketchuck the black girl is lighter than every other bitch on here! y'all needa stop playin, fuckin up darkskin girls' body image",0,2EE73EB6,437,43,1093,335,64
@marshabitch don't start lil bitch,0,DA1AD5CB,507,885,1384,555,11
@marylene58 @sunflower1790 @shelliecorreia @Jan4USA no just a niggress that thinks she's human.,0,DB349107,828,859,1335,674,17
"@matt_chu22 @RyanRiehle I'll do that, if you agree to take your Ethiopian starvin looking nigger ass back to Africa. #BuyFoodLittleGuy",0,376AF9D8,952,290,1067,240,27
@mattrbennett209 try some 2 Chainz. I heard he has some big booty hoes.,0,E36FFE85,653,531,727,219,38
"@matty_2_fatty fuck you bitch, where's my sleeve",1,75901D74,210,299,1237,592,98
@mauriokart wtf is ur tumblr bitch,1,B3B7E49C,987,693,192,146,86
@max_dashevsky u and taber the shit coon,0,E96AB4F2,608,610,128,117,9
"@mayarsharkawi Fake pics http://t.co/jtwUu9CYSr get off my TL, u r dismissed muzzie. @Darknight420 @JewJitsuGrl @Begbie_1 @efilnikcufecin7",1,88E5EC3F,856,48,171,189,29
@maycie32 do you mean you were too distracted by being a bitch ? :)),0,E8886D67,22,446,984,30,70
@mayhemmiller faggot,0,73AE882D,192,599,897,274,26
@mayormcginn @usmayors @SenFeinstein White people need those weapons to defend themselves from the subhuman trash your sort unleashes on us.,0,D5716378,874,626,849,338,49
"@mayormcginn If racial minorities weren't criminally inclined, they wouldn't have so much to worry about. Act your color, race traitor!",0,361CA036,468,676,797,531,8
"@mbxvss we don't trust these hoes, lol na but it's bigger for us I think bc most guys talk to girls first, if you understand",0,A0FF72F6,452,87,770,32,21
@mcclearyb0y other than those the university and the white black and red ones .. The rest trash anyway. They just making shit up now,0,F47CF92D,307,205,977,91,43
@mchastain81 @TheWorldStories you fucked that bitch!,1,B22DE385,668,806,1163,376,16
@mckinley719 @UberFacts Mmm no thanks I've been saving mine up for this point in time....fucking queer....,1,1F3B9F06,286,313,1257,457,95
@mckinley719 I mean we have other pics of me ..idk why you chose that one *cough* bitch *cough*,0,1B898127,1017,184,1076,185,85
@mckinley719 bitch I will kill yo vibe,0,D9693930,283,89,284,231,53
@mckinley719 bitches bow down,0,08ED8727,820,652,1425,314,94
@mckinley719 fuck bitches get money,1,2446719A,731,662,643,153,98
@mckinley719 oh you spelled give wrong psh thought I'd be a bitch,0,46DBC749,1115,680,51,380,58
@mdsaab1 lmaoo abo crusty hands,0,6BBE8770,463,854,485,193,12
@meaghanyockey @DoltYourselfs @annacoman Thanks for saying hi today bitch!!,0,08C68FA2,1027,820,1115,213,14
@megalexatron trash about us and your from another conference- you can say goodbye,0,E3FCD35B,980,299,1270,413,85
@megankjanes23 Scrolling through my TL. Ol' sick ass bitch!!!,0,5399C461,868,905,245,303,40
@megann_17 you should make me brownies!,0,360BEFE6,652,938,1341,517,25
"@megynkelly 
I don't understand the need for multiple autopsies. I guess they're going to keep on until they can slant 1 against the officer",0,8D00AE8E,98,617,297,391,38
@megynkelly next you could ask the grand wizard of the #kkk why so many are intolerant this poor soul's views. #cunt #tcot #frc #p2 #foxnews,1,B68B6DC1,953,162,1038,72,84
@mel0_yell0w ain't that a bitch.,0,EBE72863,988,663,830,254,19
@meowfiesta o #k #bitch,0,5109F1D1,201,540,1255,487,28
"@mesmart029 Someone recently told me that a local yokel was going to ""use my twitter account to damage me"" so... Yeah.",0,ED83078E,1162,791,1381,163,51
@metroadlib I be THIIIIIIIS close to going real east side Detroit on they monkey ass. But. I don't.,0,9F8CAEDB,471,638,966,155,7
@mflagginski I live in the eye of a white trash hurricane. Milwaukie OR. Where people use bikes BC of DUI's not to save the environment.,0,3F0A88FC,464,913,386,202,37
@mfsasso or jim crow laws segregation lynching laws... anti womans suffrage laws... amazing how everyone doesnt want to bring that up,0,D2D7FE53,348,187,302,675,2
@mhs_austin drive you nigger,1,CDBEF73C,433,335,1059,604,59
@mia_coop speaking about me all the time tryna make me look bad like you wasn't just eating my pussy .,0,6B66E8BA,360,208,148,53,75
@michaeldbirch What else do you expect from that nigger lover?,0,08B2065D,966,739,36,560,45
@michaelragen @somesuchandco @whatupag you guys are pussies,1,46533D31,629,655,261,523,75
@michaelray_02 @blakeanderson21 thats life hoes gonna be hoes an you could blame Tammy,0,B1FB2638,493,202,1411,417,19
@michelle_westt birds of a feather..,0,C13FF8C8,179,799,1451,182,58
@michellemcaffey I'll show you how much of a fag I am &#128527;,1,C13F07ED,369,182,1363,686,86
"@michigannews13 an coaches dont put them in positions to be successful, the offensive struggles can all be put on gardner, program is trash",0,5409E8C9,527,163,38,643,72
"@michigannews13 wow. Thats great language coming from a HS coach, you sure are a role model, you're trash, just like your account",0,A4B2D316,557,215,509,6,19
@mickeyhart lookin good mick!,0,F731597D,70,784,403,157,31
"@midgetmadz shut your dirty dirt trap you limp knees, ashy footed, blue balls, isolated hamster wheel, no nipples bitch",0,9D617B2A,820,359,541,286,85
@mightyfar they need to stop picking up UFCs trash though and build up there own fighters more.,0,175415C2,419,431,755,288,49
"@mike_ray7 congratulations, you are officially fucking retarded.",0,935B719B,1012,131,206,338,10
@mikeceeno they say I got too many bitch ... I swear I ain't got the right ones,0,A21DA022,141,987,1354,437,27
@mikecheck_123 the favorite drink of white trash everywhere....,0,5AC53F60,874,237,840,576,75
"@mikecheck_123 try this one Mikey, none of that hick shit...http://youtu.be/Thls_tMuFkc",0,1FD6C0DE,738,664,71,503,66
@mikeoe7765 That talentless skag IS a wardrobe malfunction.,0,1BC719DF,1176,870,282,405,88
@mileysbae @rihanna bitch u lying about Justin's account ugly indian,1,F2D4239D,167,6,1459,432,95
@milfmob @yoPapi_chulo fight me you fucking obese niglet,0,639F6A1F,746,110,858,561,78
"@mimi_sanabria I really did, right off my bed. Where you put all these dam yellow starburst!!!! *throws them out the window* &#128553;",0,24B236CB,359,236,946,296,8
@mimiswagnotes You are an ignorant cunt.,0,F8A01890,953,898,296,205,97
@mingtong007 you still are a cunt,0,B86AC82D,218,800,596,560,59
@miquelpaniscus @ArcusGreatApes @graspunep The person actually holding the ape is NOT Paris. It's her sister,0,42E43368,579,360,280,463,93
"@miranda_mills okay, let's fight you ginger faggot",0,46B91DA5,149,24,1445,569,48
@mis_sarahd @basedpapi1017 never said I wanted to fuck a tranny...,0,629DF2ED,55,659,52,377,78
@mis_sarahd @basedpapi1017 tranny,1,84E3A28D,539,923,1483,285,50
@mistaturk5 @DaUnfuqwitable1 nigga chill throw me in the jungle watch me come out with a gorilla monkey cheetah coat,1,DFA0B4E6,33,601,1171,526,8
@mitch_krebs14 @Gnarles_Charles I am that queer gnarles Charles and no it wasn't me,1,6492459F,24,753,336,476,90
@mitchbattiste sup pussy;),0,5DC8A5D5,1165,819,943,367,19
@mjdwarner that's a bitch. I have no desire to see that much bullshit hahahaha,0,4AB5FE32,532,85,59,509,15
@mjs79 @ChingonAbe well he is at Genos. So he is the ultimate faggot,0,6CC4B398,446,739,81,566,68
@mjziccardi that mindless twat is shitting on hiphop hahahaha,0,A35AA812,414,834,1416,673,59
@mkkberger juss the way she stands screams bitch! Lmao @mlwberger @bigbergerc,0,E9D3CB6E,654,232,1081,578,49
@mlvassallo Oh really? fags are gross You aids infected sick fuckers,0,6BE44A5E,855,992,1147,345,65
@mmyar It's dumb cunts like you that make me sad to have served in a war so you wouldn't have to.,0,B626FFE2,752,926,876,570,65
@mobilesuitwaifu All the helmets in Destiny are trash. I wish I could just rock an invisible bubble instead. Hunters look like Robocop.,0,FECB0E42,862,85,1061,147,63
@mommajjojo @smileitsalexx oh so basically we both will be your bitch all day? Mhmmm of course..............,0,2190F17E,541,813,1262,100,11
@mommajjojo love you too bitch :*,0,BE13C974,870,118,122,272,47
@monetkittrell all this spaceship shit is retarded.,0,A06D7717,1171,586,1436,312,45
"@moneydriven @2ManyLouboutins glad about your uncle, another stupid faggot off the world, hopefully you next.",0,1DE44295,19,628,808,686,94
"@moneydriven I see a picture of you smoking, such a man of god. Disgraceful nig, you sir, are an embarrassment.",0,083BD967,1028,838,138,626,81
@moneydriven LOL such a nig,1,66504849,1032,861,136,61,88
"@moneydriven lol profane words, bwahahahahahah mad gay faggot fuck boi. Get at me bitch ass nigga.",0,E01694DF,380,810,816,127,51
@moneydriven y u arguing with that ugly bitch on twitter,0,5680BF8B,1032,139,514,700,66
"@moneyhabitz17 hell yea,I'm surrounded by hillbillys an real ass rednecks",1,2B660C94,494,362,1261,255,45
@moneypulatief @globalriot Nee dat is na langdurig gepest worden.Zoals ik al zei:in d kiem smoren.Is ook vb voor t kind hoe je moet optreden,0,AA3BA62E,817,396,58,234,53
@monicawarren16 #pumprules is on bravo...quality trash,0,D7D6290F,471,465,663,11,89
@monkbent What's with that come-at-me-bro bird? Stressful.,0,7A7FBC35,1141,413,1163,657,65
@moodym0lly back Atcha bitch!,1,8EF24DAE,508,100,379,654,88
"@moose_05 ya know gamoot, i considered it, but then I was like wait. I'm no little baby back bitch",0,F45E24F3,594,705,380,169,61
@morgan_mccubbin fake bitches.... #nicetry,0,8A6E067A,341,643,694,113,36
"@morgantayler_ I apologize Morgan, but a bitch was blind for a whole 35 seconds!!!!",0,146B2057,1124,532,621,511,39
@morganwelborn you're a bitch,0,4DBE3004,293,286,528,582,40
@moyizzy naw negro,1,A3CC870E,846,908,569,587,54
@mr_republicann chik fil a. hipotle is trash and taco bell will give you the runs,0,7E272DB0,344,191,467,561,90
@mrfoolycooly @DM___3 faggot alert,1,89F99248,162,563,1294,197,58
@mrfoolycooly bitch ass scaring me! Lol you don't keep up with the new ones yet?,0,DA047007,830,412,530,328,67
@mrfoolycooly i dont think he did the celestial dragon killed him,0,10208EF8,1082,312,1061,169,92
@mrfoolycooly im still where that giant muk shit eats that candy with ceasar clown,0,68727767,695,814,163,689,67
@mrgeology no you ignorant cement headed hillbilly. You said taxing. Cant you fuckin read you fucking knob gobbling douchebag,0,AB2B9C38,174,125,1393,371,19
@mrrickyguevara lmao why would we respect him then? he's a hoe if that's true,0,24AF93D7,1004,669,137,119,0
@mrspinkyyyy what's the name of that hoe? Lol it sounds good,0,CEB77BF5,151,830,288,129,50
@msteffens32 @StonerBoii2cold back in high school w/ one. fuck these hoes now nigga lol thats what they for,0,56AC254B,877,877,186,59,42
@mtmcly he will need monkey bars on his tricycle,0,4C1C5ACE,285,734,308,488,46
"@mukeworld @deIukesionaI he has one called ""pussy pop"" I think it's for cats",0,50F9EE4E,660,122,1246,483,27
@mulroyms_ fuck dyslexia is an bitch,0,4404D77F,526,161,468,557,73
@munafal777 karma is a bitch,0,D1D2F661,287,72,450,654,58
@munro_molly no one cares bitch,1,65F898CB,555,170,1243,489,8
@myfriendbriana Jesus walks bitch,0,BFADFF01,147,158,800,418,57
@myfriendbriana can I ask my bitch for other bitches,0,E9F6DFBE,785,943,1113,634,96
@mynamesahmed @tonyr0ckyhorror I rather go choke on your moms bomb pussy,0,7AA0895E,583,643,1028,211,26
@mynamesryann @Caroline_Poe called her a cunt too,0,35FD9AD4,515,70,1167,98,39
@mynamesryann @Caroline_Poe why would i need to call her and bitch/cunt to your face? Im talking to her not you dumbass,0,F7718A32,843,51,1336,192,58
@mza361 I love you and bitches love me.,0,982EBBEC,567,389,50,686,23
@mzkimberz I called you hoe lol,0,C544373B,326,258,472,200,54
"@n0tsteven ily 2, I'm at work bitch do you even have any battle ready blades?",0,DFDE44DB,696,345,1068,130,41
"@n0tsteven whatever you wall hackin pussy bich I'll fuk u up like I did ur mum, ur sis, ur step sis, ur mums mum, ur mums aunt 420 bich bich",0,DDB1AF2E,546,847,110,528,97
@nCrusade @GodManiac_ come wage with us fag,0,3161F8F8,76,441,1268,262,49
@nataleovrerytng hoes these days,0,57F38084,1051,874,279,198,94
@natashaleggero how dare insult that pearl harbor vet. You are a dumb cunt.,0,880CE1AB,1005,322,1196,501,43
@nathanmbennett2 lol she's always scheming dude. Jaime needs to keep his hoe on a leash....or I mean his sister lol.,0,A8C25425,401,496,975,352,91
"@nedrock83 don't tell what the fuck to ""stop"" with. 2nd, if you think it's protocol to put 6 shots in someone who's unarmed, you're a retard",1,91D44D03,103,234,495,32,37
@neeishaaa one thing about it baby I will NEVER Call a bitch phone bout a nigga. Ion know what app somebody playing with but it AINT ME,0,97D4702E,94,944,682,614,80
"@neemjemoeder @SvensTweet @Harry_Dillema @wltrrr steek d morele vinger maar in j neus, zelfde soort types bij NATO stenigt vrouwen by bosjes",0,E276C0D1,196,363,977,53,4
@negrorayrice @FuckTheMallcops I'll continue dis later. I'll be back bitch.,1,813DF93C,771,252,180,21,61
